character,G_x,G_y,M,Euclid
誇,243,245,60557,8.602325267042627
鼓,244,255,58885,7.810249675906654
錮,261,254,66319,11.704699910719626
顧,246,239,70820,11.704699910719626
五,246,261,41544,11.704699910719626
互,248,252,43557,2.8284271247461903
午,238,224,33193,28.635642126552707
呉,251,243,50166,7.0710678118654755
後,249,263,56245,13.038404810405298
娯,244,247,61811,6.708203932499369
悟,261,245,56696,12.083045973594572
碁,244,251,61622,6.082762530298219
語,252,248,63083,2.8284271247461903
誤,244,242,60314,10.0
護,247,253,68214,4.242640687119285
口,249,246,34377,4.123105625617661
工,249,258,31326,8.06225774829855
公,248,273,37107,23.08679276123039
勾,267,252,42244,17.11724276862369
孔,232,254,39812,18.439088914585774
功,267,248,45186,17.11724276862369
巧,263,224,39363,29.068883707497267
広,244,268,44003,18.973665961010276
甲,248,205,47524,45.044422518220834
交,252,254,44070,4.47213595499958
光,252,255,42988,5.385164807134504
向,250,253,48776,3.0
后,251,257,47987,7.0710678118654755
好,233,244,48589,18.027756377319946
江,250,255,36156,5.0
考,260,236,49554,17.204650534085253
行,247,232,38919,18.24828759089466
坑,242,250,45362,8.0
孝,256,235,51440,16.15549442140351
抗,239,254,48035,11.704699910719626
攻,255,253,46526,5.830951894845301
更,246,232,58102,18.439088914585774
効,264,251,52272,14.035668847618199
幸,249,240,50458,10.04987562112089
拘,258,244,51216,10.0
肯,251,241,50318,9.055385138137417
侯,247,250,57228,3.0
厚,245,228,57132,22.561028345356956
恒,258,251,53271,8.06225774829855
洪,257,250,46399,7.0
皇,250,271,57863,21.0
紅,232,256,50036,18.973665961010276
荒,250,239,52954,11.0
郊,260,239,53354,14.866068747318506
香,247,248,60314,3.605551275463989
候,249,251,58753,1.4142135623730951
校,243,250,52486,7.0
耕,249,246,60410,4.123105625617661
航,234,257,58852,17.46424919657298
貢,250,240,58190,10.0
降,235,245,58493,15.811388300841896
高,249,254,56954,4.123105625617661
康,255,253,63604,5.830951894845301
控,253,253,56492,4.242640687119285
梗,255,244,64536,7.810249675906654
黄,253,247,59865,4.242640687119285
喉,245,246,62053,6.4031242374328485
慌,254,243,58206,8.06225774829855
港,263,248,56193,13.152946437965905
硬,254,236,65770,14.560219778561036
絞,238,257,57060,13.892443989449804
項,269,235,54877,24.20743687382041
溝,268,247,61679,18.24828759089466
鉱,238,266,59350,20.0
構,260,244,68567,11.661903789690601
綱,261,247,66927,11.40175425099138
酵,240,245,64808,11.180339887498949
稿,256,249,63261,6.082762530298219
興,247,239,62393,11.40175425099138
衡,247,251,62269,3.1622776601683795
鋼,260,248,67913,10.198039027185569
講,255,251,71462,5.0990195135927845
購,252,246,71888,4.47213595499958
乞,241,259,37828,12.727922061357855
